Reference,Property Type,Ad Type,Bedrooms,Bathrooms,Area (sqft),Details,Service Type,Address,Price (AED),DLD Permit Number,Agent ID
exclusivehomes-4480187,Villa,VERIFIED,5,6,6239,Corner | 5Beds + Maid + Pool | Park view,PREMIUM,"Hacienda, The Villa, Dubai",4500000,6542461120.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4557477,Villa,VERIFIED,4,5,4775,Vastu | Upgraded | 4 Beds + Study | Pool,PREMIUM,"The Centro, The Villa, Dubai",5175000,6531436500.0,10c7527d-c964-4b3b-a612-04df657a625b
PF-AS-87997,Apartment,VERIFIED,2,2,1836,Stunning Burj Khalifa View|Upgraded|Mint Condition,PREMIUM,"Index Tower, DIFC, Dubai",4100000,1435261136.0,238bea24-4a83-48d0-8e6c-927363d79759
L-195785,Apartment,VERIFIED,Studio,1,588,Studio | 2nd Floor | Vacant On Transfer,PREMIUM,"Bungalow Area, Green Community, Dubai",449000,7165148830.0,360de0b1-3096-4d0d-b18c-938c12e95386
L-172470,Villa,VERIFIED,2,2,1690,Upgraded | Backing Pool & Park | 2 Bedroom,PREMIUM,"Springs 2, The Springs, Dubai",3100000,6914158500.0,5449deb0-107b-42ba-8b11-bdf0f4f7411f
RL2864,Villa,VERIFIED,4,5,6740,Large Plot 4A | Excellent Location | Payment Plan,PREMIUM,"Murooj Al Furjan, Al Furjan, Dubai",4650000,65362762012.0,053e4ca6-bfb1-4a27-b9d4-75c4572d0fe9
arabland-4873129,Apartment,VERIFIED,3,4,2163,Unfurnished | High Floor | Modern 3BR + Maids,PREMIUM,"Park Gate Residences, Al Kifaf, Dubai",4150000,71150649383.0,61e5eff8-8612-4cee-a5e2-4f521cbcc0e4
PB-S-1693,Apartment,VERIFIED,2,2,1734,2 Beds | Type C | Full Sea View | Close to Mall,PREMIUM,"Marina Residences 5, Marina Residences, Palm Jumeirah, Dubai",3300000,7124942200.0,cd023fba-0adc-4261-9ae8-ab3ae15bc25a
L-184819,Villa,VERIFIED,3,2,2258,Type 3 | Springs 12 | Back To Back | 3 Bed,PREMIUM,"Springs 12, The Springs, Dubai",3100000,6914425200.0,4eedac69-d1a4-4f48-afe7-08c7af28cade
scr-4989685,Apartment,VERIFIED,2,3,1687,Fully Furnished|Well Maintained|Spacious,PREMIUM,"Skycourts Tower C, Skycourts Towers, Dubai Land, Dubai",945000,7128975200.0,2a29ed8c-0029-4eb0-a831-a223cbbe3101
L-195802,Villa,VERIFIED,3,3,2456,EXCLUSIVE | Fully Upgraded | Private Pool,PREMIUM,"Springs 9, The Springs, Dubai",4000000,6914283200.0,4eedac69-d1a4-4f48-afe7-08c7af28cade
JWDM-S-50539,Apartment,VERIFIED,3,3,2131,Stunning High Quality 3 bedroom for Sale,PREMIUM,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",6900000,7148033329.0,4e13cafe-67ce-4377-97af-ed340383a663
DUB196584,Villa,VERIFIED,3,2,2724,Type 2E | Single Row | Backing Park,PREMIUM,"Al Reem 2, Al Reem, Arabian Ranches, Dubai",3625000,6914516600.0,9762eb5d-20e9-4a60-b4e8-eafd4f003bf4
SWA-S-1954,Apartment,VERIFIED,2,2,1577,Mediterranean Style | Amazing Unit l Brand New,PREMIUM,"La Cote Building 3, Jumeirah 1, Jumeirah, Dubai",3850000,,38c2c4b0-4232-452c-b850-718bfda4b0f2
L-185274,Villa,VERIFIED,4,5,4335,Private Pool | Extended | 4 Bed Large,PREMIUM,"Legacy, Jumeirah Park, Dubai",6999995,6513389300.0,b3431f7d-a0c6-4407-9622-09c47d7f0157
PS-051501,Apartment,VERIFIED,2,2,1207,Exclusive | Open View | Biggest Layout,PREMIUM,"Sobha Hartland Waves, Sobha Hartland, Mohammed Bin Rashid City, Dubai",2750000,71359146057.0,f92007f6-f8ea-440c-957e-d155839cb3a0
insight-4957454,Apartment,VERIFIED,2,3,2120,EXCLUSIVE | 2 BR + STUDY| COMMUNITY VIEW,PREMIUM,"Cluster B, Jumeirah Heights, Dubai",2400000,7152943240.0,741bf4ed-8ec7-4dc6-b5a2-ebbe1b14ab7f
HRA-S-1103,Apartment,VERIFIED,3,4,1895,3 Bedroom Apartment | Type A | Creek View,PREMIUM,"D1 Tower, Culture Village, Dubai",2900000,7117527455.0,f6b9e70d-5573-42f0-8951-36b969517fee
HRA-S-1099,Apartment,VERIFIED,Studio,1,561,Unfurnished Studio | Modern Interiors | For Sale,PREMIUM,"D1 Tower, Culture Village, Dubai",1075000,7117527408.0,f6b9e70d-5573-42f0-8951-36b969517fee
BST222140,Apartment,VERIFIED,1,2,1378,Vacant | Spacious | Multiple Options,PREMIUM,"Burj Khalifa, Burj Khalifa Area, Downtown Dubai, Dubai",3250000,7121958300.0,ecd5d503-9aa2-4c34-973d-0dde1d61444c
WIL-S-6579,Apartment,VERIFIED,1,2,781,1 BEDROOM | EXCLUSIVE | TENANTED | RARE,PREMIUM,"Al Andalus Tower A, Al Andalus, Jumeirah Golf Estates, Dubai",825000,7126446015.0,cc9a38f9-a9d2-4483-87fb-bfa5e0169413
TREO-S-20527,Villa,VERIFIED,5,6,5449,Corner Plot | Extended | Upgraded | 5 Bed,PREMIUM,"Regional, Jumeirah Park, Dubai",10999995,6513637300.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
L-208220,Apartment,VERIFIED,1,2,764,Exclusive | One Bed | Vacant On Transfer,PREMIUM,"La Riviera Apartments, Jumeirah Village Circle, Dubai",800000,7143633074.0,755ba7b3-efc4-494e-8266-2fee8ccbd75c
RL32775,Duplex,VERIFIED,4,4,4639,Vacant | High Floor | Marina Views | Luxurious,PREMIUM,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai",14000000,7118016554.0,ca21cf50-3ffb-4f84-9710-b5afd899c722
RC-S-19031,Villa,VERIFIED,3,5,1881,3 Bed + Maid | Corner | R2EM | Closed Kitchen,PREMIUM,"Aurum Villas, Juniper, Damac Hills 2, Dubai",1225000,,dad764df-c4fe-4927-80c4-3689b10c24c3
PS-042406,Apartment,VERIFIED,1,2,691,Exclusive | Fully Furnished | Rented,PREMIUM,"Executive Bay A, Executive Bay, Business Bay, Dubai",1150000,7112956263.0,f92007f6-f8ea-440c-957e-d155839cb3a0
PS-050326,Apartment,VERIFIED,2,2,937,Exclusive | High Floor | Vacant,PREMIUM,"Creek Vistas Reserve, Sobha Hartland, Mohammed Bin Rashid City, Dubai",1900000,71279512992.0,f92007f6-f8ea-440c-957e-d155839cb3a0
WIL-S-6374,Apartment,VERIFIED,3,2,1750,3 BEDROOM | FULL GOLF + SKYLINE VIEW| VACANT!,PREMIUM,"The Fairways West, The Fairways, The Views, Dubai",3300000,7124657500.0,2b29ecff-9334-4bf5-ad99-05301dffce90
DB-S-39694,Apartment,VERIFIED,2,3,1119,High Floor | Full Golf Course View | Payment Plan,PREMIUM,"Golf Suites, Dubai Hills, Dubai Hills Estate, Dubai",2700000,71197979169.0,088a1cec-2168-4ca2-95a1-416a7f618bed
RL2641,Apartment,VERIFIED,2,3,1485,Exclusive | Full Sea View | High Floor,PREMIUM,"Burj Vista 1, Burj Vista, Downtown Dubai, Dubai",3000000,7117730741.0,1a8b6d80-99d0-4607-a546-2a5973c3b1e7
ET-S-9889,Villa,VERIFIED,5,5,6200,Private Pool| Five beds| VOT | Green Community,PREMIUM,"Family Villas, Green Community West, Green Community, Dubai",5100000,6968243650.0,f1af52e6-d07d-42e0-9f3b-978b04419a18
DUB206522,Villa,VERIFIED,4,4,4573,Unique upgraded Doral in quiet location,PREMIUM,"Whispering Pines, Earth, Jumeirah Golf Estates, Dubai",6800000,6585266130.0,da2da9f8-466c-4210-8089-239ee19f1e71
PF-AS-87705,Apartment,VERIFIED,2,3,1517,High floor 2br with clear view of marina,PREMIUM,"Jumeirah Living Marina Gate, Marina Gate, Dubai Marina, Dubai",5698900,7148059367.0,8ed2bcdb-7004-4837-a58f-c1332c85c8ea
BHM-S-131500,Penthouse,VERIFIED,4,6,9235,Experience Heights of Luxury| Burj Khalifa View,PREMIUM,"Index Tower, DIFC, Dubai",29500000,301766839.0,acf0d735-1b01-4807-af56-2b67a23b8e55
WIL-S-6264,Villa,VERIFIED,4,5,5285,EXTENDED PLOT | VASTU | LAKE VIEW | VOT,PREMIUM,"Entertainment Foyer, Oasis Clusters, Jumeirah Islands, Dubai",20000000,6587309000.0,45a2365e-3e67-4a3a-adb0-e5771312d128
DB-S-40131,Apartment,VERIFIED,3,4,1825,Burj Khalifa View | Best Layout | Genuine Seller,PREMIUM,"Boulevard Point, Downtown Dubai, Dubai",5850000,7116809951.0,74966421-6d95-47f3-9655-cd318d8f3d32
DB-S-39538,Apartment,VERIFIED,2,3,1545,Fully Renovated I Terrace I Luxury Interior,PREMIUM,"Attareen Residences, The Old Town Island, Old Town, Dubai",3550000,7119096700.0,74966421-6d95-47f3-9655-cd318d8f3d32
HH-S-6006,Villa,VERIFIED,4,4,2526,Tenanted till May | Ideal location | Type 2E,PREMIUM,"Mira 1, Mira, Reem, Dubai",3050000,6917121388.0,9b470918-da07-4dd9-85fc-d28f0f1bd368
BHM-S-571518,Townhouse,VERIFIED,2,4,1365,Custom Build | Rented at 6% ROI | 2+Maids,PREMIUM,"Al Burooj Residence 1, Jumeirah Village Triangle, Dubai",2000000,69268270098.0,206ddd40-c4e9-4af0-a1bf-2b02adb36234
DUB702105,Villa,VERIFIED,4,5,5000,Large Corner Plot | Extended | Upgraded,PREMIUM,"Meadows 2, Meadows, Dubai",9000000,6595930000.0,3073d98d-b4e8-4c15-94fc-14327398f134
PS-060217,Apartment,VERIFIED,2,2,1170,Brand New | With 5 yrs Post Handover Plan,PREMIUM,"Forte 2, Forte, Downtown Dubai, Dubai",3500000,71185320976.0,fccde4bd-e511-44c7-b821-2f272bdfe3cb
otto-4987793,Apartment,VERIFIED,1,2,801,Full Sea View and AIN DUBAI | VOT,PREMIUM,"Elite Residence, Dubai Marina, Dubai",1400000,7148067070.0,0cac307d-eec5-4707-a7eb-c6147225ce77
L-212284,Villa,VERIFIED,3,3,3186,Best Location I Vacant Now | Payment Plan,PREMIUM,"Golf Grove, Dubai Hills Estate, Dubai",6650000,69235026175.0,9a25029a-aa11-46e9-a468-566055204f18
LRE-S-4688,Villa,VERIFIED,4,5,4500,4 BR Bungalow| Large Plot |Close to Pool,PREMIUM,"Bungalows Area, Green Community West, Green Community, Dubai",4700000,6968231960.0,ae33b78f-74df-4eb8-97f2-c977227a1f39
WIL-S-6501,Villa,VERIFIED,2,3,1690,VACANT NOW | TYPE 4M | NEAR POOL & PARK,PREMIUM,"Springs 12, The Springs, Dubai",2450000,6914405900.0,672dffd7-2320-488e-87ae-da616b4126b3
ES-1003630,Villa,VERIFIED,5,6,5176,Exclusive | Furnished|Upgraded Golf Villa,PREMIUM,"Calida, Victory Heights, Dubai Sports City, Dubai",9800000,6512669500.0,66d2d3c8-a100-454b-8562-e8948e540356
exclusivehomes-4950530,Villa,VERIFIED,5,6,3900,Vastu | 5 beds + maid | Park View | Pool,PREMIUM,"The Aldea, The Villa, Dubai",4650000,6530650000.0,10c7527d-c964-4b3b-a612-04df657a625b
ES-20639,Villa,VERIFIED,5,5,4689,Single Row | 5 BR | Vastu Compliant | VOT,PREMIUM,"Legacy, Jumeirah Park, Dubai",7499999,6513334200.0,3e2451f0-c87a-40d5-a8a9-ca182fcea413
PF-VS-84382,Villa,VERIFIED,4,5,5297,Custom | Independent | Single row | Brand new,PREMIUM,"West Village, Al Furjan, Dubai",4999999,6511771303.0,985f23d0-5dec-4be6-b3ad-dbd999ece022
DUB132628,Villa,VERIFIED,3,4,2507,Best Location | Forat | Private View,PREMIUM,"Forat, The Lakes, Dubai",4299000,6914868300.0,5475ba75-9445-4971-b926-f1f1bf3f8b51
PF-VS-82705,Townhouse,VERIFIED,2,3,1778,Single Row | 2 Bedroom + Maids | Great Location,PREMIUM,"Arabella Townhouses 2, Arabella Townhouses, Mudon, Dubai",1850000,65277161343.0,0b0b9ceb-d1ce-4eff-92cd-c4f48f28ec67
SUP154225,Villa,VERIFIED,2,3,1690,Full Lake Views | Springs 8 | Type 4M,PREMIUM,"Springs 8, The Springs, Dubai",2350000,6914761200.0,4eedac69-d1a4-4f48-afe7-08c7af28cade
WIL-S-6683,Villa,VERIFIED,5,5,4286,CORNER UNIT | HUGE PLOT | CALL TO VIEW,PREMIUM,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai",10750000,6544018015.0,5aec51fb-96d7-4f7f-abd0-f31250726b4b
DUB211204,Townhouse,VERIFIED,4,4,2462,4 Bedroom 2E | Maple 3 | Close The Park,PREMIUM,"Maple 3, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",4200000,6991604213.0,9a25029a-aa11-46e9-a468-566055204f18
RL3007,Apartment,VERIFIED,2,3,1317,Park View | Boulevard Access | Mid Floor,PREMIUM,"Acacia C, Park Heights, Dubai Hills Estate, Dubai",2700000,7122111238.0,90e2c949-3696-4869-8717-0ed79c84cbad
BHM-S-155138,Apartment,VERIFIED,2,3,1653,Genuine Seller | Most Wanted | Vacant,PREMIUM,"Marinascape Avant, Marinascape, Dubai Marina, Dubai",2675000,7123161500.0,6b7be6f6-53ea-4644-813f-41790c60103c
L-203334,Apartment,VERIFIED,1,1,645,1 Bedroom | Available Now | High Floor,PREMIUM,"Park Heights 2, Park Heights, Dubai Hills Estate, Dubai",1250000,7181174839.0,992220ba-619e-4681-a2d4-52c908538c94
arabland-4863555,Villa,VERIFIED,4,5,3628,DISTRESS DEAL | Fully Furnished Villa | Huge Garden,PREMIUM,"Picadilly Green, DAMAC Hills, Dubai",4710000,6585226670.0,61e5eff8-8612-4cee-a5e2-4f521cbcc0e4
ES-20663,Villa,VERIFIED,4,4,3703,Exclusive|Corner Plot|Vacant on transfer,PREMIUM,"Deema 3, Deema, The Lakes, Dubai",6999999,6511444100.0,25ae54d3-3c3c-4781-a468-b1a4082c2cbe
RL1372,Villa,VERIFIED,6,7,17904,Exclusive | Well maintained | Swimming Pool,PREMIUM,"Ponderosa, The Villa, Dubai",12000000,6531493800.0,6861acc4-158a-44dd-9792-1beaaa0446d9
BHM-S-561191,Apartment,VERIFIED,2,2,962,Furnished| Vacant I High floor I Parking I Good for Investment |,PREMIUM,"New Dubai Gate 2, Lake Elucio, Jumeirah Lake Towers, Dubai",1280000,7117451752.0,5beed155-e1a7-4184-af68-efe4cbc540ed
HRA-S-1502,Apartment,VERIFIED,2,2,1408,Spacious Layout | 2 Bedroom Unit| Well Priced,PREMIUM,"D1 Tower, Culture Village, Dubai",2250000,7117527529.0,f6b9e70d-5573-42f0-8951-36b969517fee
HRA-S-1621,Apartment,VERIFIED,2,3,2013,Luxuriously Furnished 2 Bedroom | Great Offer,PREMIUM,"Palazzo Versace, Culture Village, Dubai",3500000,7117775656.0,f6b9e70d-5573-42f0-8951-36b969517fee
PF-VS-84984,Townhouse,VERIFIED,3,3,1959,Exclusive | Rented 3BR On Single Row Near Pool!,PREMIUM,"Arabella Townhouses 3, Arabella Townhouses, Mudon, Dubai",2199850,65280720195.0,f8081e33-9826-4aed-87a5-27d065ebfd51
providentrealestatebroker-4852305,Townhouse,VERIFIED,4,5,1550,Damac lagoons | Malta 1 | Resale,PREMIUM,"Malta, Damac Lagoons, Dubai",2100000,65418082917.0,8d799b8f-5fc6-4819-9a3a-7c3f7dc5d4b2
PF-AS-83719,Apartment,VERIFIED,2,2,1235,Community View I VOT I Closed Kitchen,PREMIUM,"Port de La Mer, La Mer, Jumeirah, Dubai",3500000,71220421247.0,e5a4d679-2a48-4fe2-8865-7767531ad2f4
PF-VS-85143,Townhouse,VERIFIED,4,6,2346,luxury townhouse best offer in the market,PREMIUM,"Grand Views, Meydan Gated Community, Meydan, Dubai",4600000,6929622734.0,b4b3f9a2-cb54-4bf5-8f0c-43f4824e0039
TREO-S-19776,Villa,VERIFIED,5,6,6369,Brand New Modern & Contemporary 5 Bedroom,PREMIUM,"Jumeirah Park Homes, Jumeirah Park, Dubai",13000000,65256025059.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
EDS - 255,Apartment,VERIFIED,1,2,1286,Stunning Layout | VOT | Burj Khalifa View,PREMIUM,"Burj Daman, DIFC, Dubai",2600000,363301932.0,4077e31b-876f-4ba2-99bc-d1d709bd4c9f
PP-S-1966,Apartment,VERIFIED,2,2,1116,Brand New | Swimming Pool View | Vacant,PREMIUM,"Golf Suites, Dubai Hills, Dubai Hills Estate, Dubai",2500000,71197975407.0,5cf528bd-159f-405e-9ba0-2ad7e3328f6d
TREO-S-20536,Villa,VERIFIED,4,5,4335,4 Bedroom Large | Legacy Style | Call Now,PREMIUM,"Legacy, Jumeirah Park, Dubai",7000000,6513389300.0,29c5c198-a909-4d65-84e1-8ad94b5f3f98
JPJ220440,Villa,VERIFIED,4,5,4335,meadows backing | vacant on transfer | best price,PREMIUM,"Legacy Nova Villas, Jumeirah Park, Dubai",5250000,6530189700.0,1ba43953-0640-425f-90cc-0ae96d785d68
BHM-S-560497,Apartment,VERIFIED,2,2,1535,Fully Upgraded | Rare Unit | Full Marina View,PREMIUM,"Al Sahab 2, Al Sahab, Dubai Marina, Dubai",2795000,7115602700.0,c6cb8f0a-922d-480b-976a-36dcedb2906c
eandt-4989082,Apartment,VERIFIED,2,3,1360,Beautiful 2 bed in Dubai Wharf | Motivated seller,PREMIUM,"Dubai Wharf Tower 2, Culture Village, Dubai",1850000,7117827534.0,20890870-5f7f-487a-b6aa-24b6a240405c
L-199826,Apartment,VERIFIED,2,2,1312,Vacant | Low Floor | Burj Khalifa View,PREMIUM,"The Grand, Dubai Creek Harbour (The Lagoons), Dubai",3500000,71147121469.0,237ac6fe-c632-4efa-a512-3db5dc56d0ce
DBI218964,Villa,VERIFIED,5,5,4100,Fully Upgraded | Priced to Sell | Vacant Soon.,PREMIUM,"Nakheel Villas, Jumeirah Village Circle, Dubai",4275000,6912233121.0,bcef70b5-e97b-41c8-b05a-8080f19dca2c
blissuae-4885183,Apartment,VERIFIED,1,1,774,Genuine Resale | Exclusive | Negotiable,PREMIUM,"O10, Al Jaddaf, Dubai",1400000,71410504523.0,7dd9716d-d5d3-45f6-a21a-05098838718e
BB2023-HK-AURA-4BRV,Villa,VERIFIED,4,5,3410,Genuine Resale| 4 BR Twin Villa |Sky Suit| Aura,PREMIUM,"Aura, Tilal Al Ghaf, Dubai",4200000,1779382687.0,fb346a79-0cd0-4026-b980-e7efa9de8703
NUA-S-2900,Apartment,VERIFIED,3,5,1735,3Bed + 5 Bath | Fully Upgraded | High Floor,PREMIUM,"Goldcrest Views 2, Lake Almas West, Jumeirah Lake Towers, Dubai",2299999,7131590400.0,7add5406-7d79-4bbb-a439-9766d3f85c61
edber-4909538,Apartment,VERIFIED,1,2,1274,"vacant, high floor, corner unit, open view",PREMIUM,"Central Park Residential Tower, Central Park Tower, DIFC, Dubai",2100000,6714969500.0,a09f7339-432b-4d55-b995-3a77c76bc22a
axc-3962596,Apartment,VERIFIED,4,5,2942,Upgraded 4 bedroom | Panoramic Windows | Upgraded,PREMIUM,"Rahaal 2, Madinat Jumeirah Living, Umm Suqeim, Dubai",18000000,71225189940.0,4ba271a2-0d8b-40cd-ae1e-09d5cc679d43
axc-3961646,Apartment,VERIFIED,2,3,1393,High Floor | Full Marina Views | Fully Furnished,PREMIUM,"Murjan 1, Murjan, Jumeirah Beach Residence, Dubai",2150000,7115410400.0,c1c81b80-e2a2-41ff-9e91-3ecf8afe46c0
TREO-S-19645,Villa,VERIFIED,3,4,3498,Single row | vacant now | keys in hand,PREMIUM,"La Quinta, Villanova, Dubai Land, Dubai",3250000,65179500097.0,aca52004-3905-4dcd-aeae-6e9e3ae81407
WIL-S-6221,Villa,VERIFIED,5,6,6500,FULLY RENOVATED | ROMAN STYLE | MASTER VIEW,PREMIUM,"Master View, European Clusters, Jumeirah Islands, Dubai",25000000,6586972000.0,45a2365e-3e67-4a3a-adb0-e5771312d128
DUB222172,Villa,VERIFIED,3,3,2724,Exclusive | Upgraded | Single-row | Tenanted | 2E,PREMIUM,"Al Reem 2, Al Reem, Arabian Ranches, Dubai",3350000,6914595000.0,6b5e528d-46bb-4872-ac80-5bd0ab85559b
VS-S-2533,Townhouse,VERIFIED,4,5,1878,EXCLUSIVE I PARK MALIBU FACING I4BEDS RICHMOND,PREMIUM,"Richmond, DAMAC Hills, Dubai",3400000,65106451021.0,c2e1d785-88c9-424c-b61e-44ba525602b5
BHM-S-554044,Apartment,VERIFIED,1,2,855,Genuine Listing | Largest Type | Vacant,PREMIUM,"Jumeirah Gate Tower 1, The Address Jumeirah Resort and Spa, Jumeirah Beach Residence, Dubai",2850000,7135245754.0,6b7be6f6-53ea-4644-813f-41790c60103c
PER-S-5749,Penthouse,VERIFIED,2,3,5043,Impeccably Styled Penthouse ready to move in.,PREMIUM,"Volante, Business Bay, Dubai",20000000,7131322140.0,95ce78e9-ea5d-4f5d-8867-00c1114a0061
PF-AS-84978,Apartment,VERIFIED,1,2,832,Modern | 1 BR with Balcony | Burj Khalifa view,PREMIUM,"Prime Views by Prescott, Meydan Avenue, Meydan, Dubai",1258144,71139890408.0,346de6f5-753b-43d8-a506-ad251483ad3c
AQ-S-23-00531,Villa,VERIFIED,3,4,1671,Tenanted | Single Row | Type C+ | Landscaped,PREMIUM,"Casa Viva, Serena, Dubai",2200000,6997705347.0,ff68a1cc-ff64-40f4-87e2-a3716d398c5e
RL-53727,Apartment,VERIFIED,2,4,1935,Vacant now | 2 bed + M | Extended Terrace,PREMIUM,"Marina Residences 1, Marina Residences, Palm Jumeirah, Dubai",3200000,7124689800.0,234cb510-e9ab-4871-9510-09d0a6c5a4ea
RL-53993,Apartment,VERIFIED,2,3,1709,Vacant now | Sea View | 2 bedroom + Study,PREMIUM,"Oceana Atlantic, Oceana, Palm Jumeirah, Dubai",5500000,7125917200.0,234cb510-e9ab-4871-9510-09d0a6c5a4ea
PS-051002,Apartment,VERIFIED,2,3,1308,Investors Deal | Upgraded | Rented,PREMIUM,"Icon Tower 2, Lake Almas West, Jumeirah Lake Towers, Dubai",1500000,7127725200.0,fccde4bd-e511-44c7-b821-2f272bdfe3cb
SUP158589,Villa,VERIFIED,3,4,3527,7170 Plot | 3 Beds | Maids | Legacy Style,PREMIUM,"Legacy, Jumeirah Park, Dubai",6100000,6513411100.0,b3431f7d-a0c6-4407-9622-09c47d7f0157
PS-042511,Apartment,VERIFIED,3,3,1651,Best Investment | Beach Acess | Resale,PREMIUM,"Creek Beach Lotus, Creek Beach, Dubai Creek Harbour (The Lagoons), Dubai",3050000,71407288316.0,ef120118-b683-4dcb-83fd-278a5ffa433c
PS-051905,Apartment,VERIFIED,1,1,788,Exclusive | Investor Deal | Genuine Listing,PREMIUM,"Wilton Terraces 1, Mohammed Bin Rashid City, Dubai",1300000,71161657541.0,ef120118-b683-4dcb-83fd-278a5ffa433c
PJM180288,Apartment,VERIFIED,3,3,2089,3 Bed | Vacant On Transfer | Golf Views,PREMIUM,"Golf Veduta A, Golf Veduta Hotel Apartments, DAMAC Hills, Dubai",2400000,7118049289.0,ac652177-e4a8-42d0-87dd-4e2dd6818706
RL2494,Apartment,VERIFIED,3,4,2142,Excellent Investment|Best Layout|High Floor,PREMIUM,"Celadon, City Walk, Dubai",5600000,71386777535.0,053e4ca6-bfb1-4a27-b9d4-75c4572d0fe9
JWDM-S-50110,Penthouse,VERIFIED,4,5,4640,Stunning Vacant 4 Bed Penthouse with Marina Views,PREMIUM,"Marina Gate 1, Marina Gate, Dubai Marina, Dubai",14000000,7118016554.0,4e13cafe-67ce-4377-97af-ed340383a663
DJ-S-BAHAR2-4BR,Apartment,VERIFIED,4,5,3005,Exclusive|Full Sea and Ain Dubai View |High Floor,PREMIUM,"Bahar 2, Bahar, Jumeirah Beach Residence, Dubai",6800000,7151742900.0,2569dfc8-ab2a-41f9-9504-1d9c8356a08e
TREO-S-10576,Villa,VERIFIED,3,3,3164,Exclusive | Internal & Quiet | Type 2,PREMIUM,"Palma, Arabian Ranches 2, Dubai",4200000,6510544372.0,e37b8262-b9ac-401c-a7af-ef84d7a7adf9
exclusivehomes-4951027,Villa,VERIFIED,5,6,3600,Exclusive| Mazaya A1 | 5beds + Maid | Pool,PREMIUM,"The Centro, The Villa, Dubai",4400000,6528319400.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4967002,Villa,VERIFIED,4,5,4775,Cordoba | 4BR + Maid | Study | Park View,PREMIUM,"The Aldea, The Villa, Dubai",4800000,6510252473.0,10c7527d-c964-4b3b-a612-04df657a625b
exclusivehomes-4963003,Villa,VERIFIED,7,8,15431,Vastu | 7 Bedrooms + maid |Pool | Large Plot,PREMIUM,"Ponderosa, The Villa, Dubai",12900000,6528481800.0,10c7527d-c964-4b3b-a612-04df657a625b
ES-1003644,Villa,VERIFIED,4,4,3850,Brand New Turn Key | Pool and Lake View,PREMIUM,"Zulal 2, Zulal, The Lakes, Dubai",8500000,6932128700.0,25ae54d3-3c3c-4781-a468-b1a4082c2cbe
PF-AS-84430,Apartment,VERIFIED,2,1,669,Never Used | Brand new | Spacious Bedrooms,PREMIUM,"MAG 565, MAG 5, Dubai South (Dubai World Central), Dubai",540000,71137033094.0,985f23d0-5dec-4be6-b3ad-dbd999ece022
WIL-S-6526,Apartment,VERIFIED,1,2,803,POOL VIEW | ONE BEDROOM | STUDY | OFF-PLAN,PREMIUM,"Oakley Square Residences, Jumeirah Village Circle, Dubai",1300000,71392087784.0,0ba67753-5df0-442e-8750-92270974e91e
pindrop-4762450,Apartment,VERIFIED,2,2,2000,"2 Bedroom l Tenanted l 2,000 sq ft l Garden View",PREMIUM,"New Bridge Hills 3, New Bridge Hills, Motor City, Dubai",1350000,7123084700.0,f77b71fc-e9e6-4433-ac73-5aa77e547ce0
L-179697,Villa,VERIFIED,3,3,1895,VOT | 3 Bedrooms + Maids | Park Backing,PREMIUM,"Amaranta 3, Villanova, Dubai Land, Dubai",2050000,69179415937.0,de5b306e-3823-42da-af57-da37c90f81ea
SUP162636,Apartment,VERIFIED,2,3,1318,Burj Khalifa View| Study | Bright | Reehan,PREMIUM,"Reehan 6, Reehan, Old Town, Dubai",3000000,7118812300.0,78b22d8d-ed35-4509-87a5-8e9270e8249e
L-213130,Villa,VERIFIED,3,3,3102,Vacant On Transfer | Single Row | 3 Beds,PREMIUM,"Sidra Villas II, Sidra Villas, Dubai Hills Estate, Dubai",5800000,6544023833.0,9a25029a-aa11-46e9-a468-566055204f18
GS-S-37666,Villa,VERIFIED,7,8,18399,Contemporary 7 Bedroom Mansion Villa,PREMIUM,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",74000000,6515892792.0,eb4f327e-4854-444b-8fee-dd7e945a9962
ES-21267,Villa,VERIFIED,4,3,4099,Exclusive Villa | Large Corner Plot | 4BR,PREMIUM,"Meadows 1, Meadows, Dubai",7500000,6595289000.0,646aa98a-8a2f-4df7-b60b-1efbcdd239fb
achiever-2997059,Villa,VERIFIED,6,8,13380,Ready to Move In | Stunning Contemporary Villa,PREMIUM,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",25999999,6515891087.0,63d36b7f-53e4-4497-95b8-c304db0d1bce
axc-3961886,Apartment,VERIFIED,1,2,587,Resale | Ready Property | Immediate Rental Income,PREMIUM,"AZIZI Riviera, Meydan One, Meydan, Dubai",1000000,71144307764.0,cd63ab57-88f6-4ca9-8591-d44b20a8d673
DUB135663,Villa,VERIFIED,3,4,3153,1E | Largest Layout | Immaculate | 3 Bed,PREMIUM,"Ghadeer 1, Ghadeer, The Lakes, Dubai",5499950,6926068800.0,b3431f7d-a0c6-4407-9622-09c47d7f0157
